Include,,Category,Name,Link,Summary,StandardStatus,IEStatus,IEPrefixed,IEUnprefixed,MSDN,WebPlatDocs,Demo,ID,ChromeStatus,FFStatus,OperaStatus,SafariStatus
TRUE,,User input,<datalist> Element,http://www.w3.org/html/wg/drafts/html/master/forms.html#the-list-attribute,Shows a list of pre-defined options to suggest to the user when entering an input element.,Established standard,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh772925(v=vs.85).aspx,http://docs.webplatform.org/wiki/html/elements/datalist,,@6090950820495360,,,,
TRUE,,Misc,<details>/<summary>,http://www.w3.org/html/wg/drafts/html/master/interactive-elements.html#the-details-element,Interactive widget to show/hide content.,Established standard,Under Consideration,,,,"http://docs.webplatform.org/wiki/html/elements/details
http://docs.webplatform.org/wiki/html/elements/summary",,@5348024557502464,,,,
TRUE,,Misc,<img srcset>,http://www.w3.org/html/wg/drafts/srcset/w3c-srcset/,Enable a responsive images solution by providing the browser multiple resources in varying resolutions for a single image.,Working draft or equivalent,Under Consideration,,,,http://docs.webplatform.org/wiki/concepts/mobile_web/highdpi,,@4644337115725824,,,,
TRUE,,Misc,<picture> Element,http://picture.responsiveimages.org/,Enable a responsive images solution by declaring multiple resources for an image using CSS media queries.,Working draft or equivalent,Under Consideration,,,,,,@5910974510923776,,,,
TRUE,,Web Components,<template> Element,http://www.w3.org/html/wg/drafts/html/master/scripting-1.html#the-template-element,HTML template element to allow creating fragment of inert HTML as a prototype for stamping out DOM.,Established standard,Under Consideration,,,,http://docs.webplatform.org/wiki/html/elements/template,,@5207287069147136,,,,
TRUE,,File APIs,a[download] attribute,http://www.w3.org/html/wg/drafts/html/master/links.html#attr-hyperlink-download,"When used on an <a>, this attribute signifies that the resource it points to should be downloaded by the browser rather than navigating to it.",Established standard,Under Consideration,,,,http://docs.webplatform.org/wiki/html/elements/a,,@6473924464345088,,,,
FALSE,,Graphics,Animated WebP,https://developers.google.com/speed/webp/docs/riff_container,Support for animated WebP images,,Not currently planned,,,,,,@4785074604081152,,,,
TRUE,,Network / Connectivity,Application Cache,http://www.w3.org/html/wg/drafts/html/master/browsers.html#offline,Enables web pages to work without the user being connected to the internet,Established standard,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh673545(v=vs.85).aspx,,,@6192449487634432,,,Shipped,
TRUE,,Multimedia,Audio and video tracks,http://www.w3.org/html/wg/drafts/html/CR/,"Adds the ability to get information about multiple audio and video tracks, and switch between them using the AudioTrack.enabled and VideoTrack.selected attributes.",Working draft or equivalent,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh772592,,,@5748496434987008,,,,
FALSE,,CSS,Blending of background images,http://www.w3.org/TR/compositing-1/#background-blend-mode,Offers more ways to blend between background images and background color.,Established standard,Under Consideration,,,,,,@5768037999312896,,,,
TRUE,,File APIs,Blob,http://dev.w3.org/2006/webapi/FileAPI/#dfn-Blob,"Allows you to construct Blobs directly (var blob = new Blob([""1234""], {type: 'text/plain'})). Blob() constructor also can take ArrayBufferView directly rather than constructing a blob with ArrayBuffer.",Established standard,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh772298(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/file/Blob,,@5328783104016384,,,,
